,PropertyGFATotal,SiteEnergyUse(kBtu),TotalGHGEmissions,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,distance,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9
12,0.9342026007892736,0.5638326618925475,0.562991781890856,0.5158236516002143,-0.04707210632781032,3.584280848836612,-0.26128440628122385,-0.8772594425586714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,-0.1627196787072455,0.09592830335717509,0.39644967509182694,-1.3103477736514009,-0.04707210632781032,0.7818085741360078,-1.0686686518716786,-0.8697789137990185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,1.4260337221575412,1.01783322802809,0.7502136052231173,0.6102807942856426,-0.04707210632781032,2.947355331859202,-1.209083303278714,-0.8258488909814133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,-0.10309932867803291,0.07186068599699087,0.19976178433238195,-1.4992620590222576,-0.04707210632781032,0.6544234707405258,-0.9282540004646429,-0.7672775023347794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,2.0342916905241477,1.479769532774103,1.3113814998807796,-1.4992620590222576,-0.04707210632781032,0.6544234707405258,0.3705815250504364,-0.7182240793286591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,-0.3390119848863725,-0.2763840970478011,-0.1774124587053666,-0.08240491874083211,-0.04707210632781032,-0.3646573564233303,1.0375511192338556,1.639601649724563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,-0.1803577332546149,-0.19052451468226744,-0.11493641368595382,1.177023650398213,-0.04707210632781032,0.14488305715859773,0.6514108278645075,0.033787830993506206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,0.22786665651126642,0.10853631317297285,0.17465243368258299,1.177023650398213,-0.04707210632781032,0.6544234707405258,-0.2963880691329827,-0.9796166112364106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,-0.27929359119652974,-0.15846222275555083,-0.06829782763125233,0.452852223143262,-0.04707210632781032,0.01749795376311571,-0.2963880691329827,-1.2069209965747878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,0.1728592607147038,-0.06458272199319631,0.10371760789810988,-0.4602334894825456,-0.04707210632781032,-0.3646573564233303,0.3354778621986775,1.7853265197605694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,-0.21330530540938697,-0.06905362868197884,0.03675124884272532,0.95662365079888,-0.04707210632781032,-0.1098871496323663,-1.279290628982232,0.43244639782087185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,1.8111198080147,17.78622660911474,20.25042172907658,0.8936522223419278,-0.04707210632781032,-0.2372722530278483,-2.016467548869169,1.477961521728476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,-0.34510049621150674,-0.27190525744998073,-0.185980463325356,0.8306807938849755,-0.04707210632781032,-0.3646573564233303,1.1077584449373732,0.01573608018420242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,0.24599983154481825,-0.07994509846062486,0.0987054465552549,-0.4287477752540695,-0.04707210632781032,-0.3646573564233303,0.7918254792715431,0.951721757092692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,-0.14943476269185607,-0.08854158270743784,-0.06572499904847931,-0.08240491874083211,-0.04707210632781032,-0.3646573564233303,-0.2963880691329827,0.2118183598468844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,-0.3570226053441366,-0.21931352665011375,-0.12240004377277179,-2.0030334866778756,-0.04707210632781032,-0.3646573564233303,0.6163071650127486,0.13907125818797592,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0.2433036308774883,-0.05586895196002291,0.07661795589182611,-0.302804918340165,-0.04707210632781032,-0.2372722530278483,1.0375511192338556,0.8342751363398907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,1.0139022925155472,0.31474255190231176,0.13423960735883697,0.1694807950869769,-0.04707210632781032,2.437814918277274,0.05464855938460628,-0.9290222832492846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0.20947856796007613,0.04686153289781778,-0.14349238375795814,0.2954236520008814,-0.04707210632781032,0.01749795376311571,0.4407888507539542,-1.024009375197996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,-0.32346226031042596,-0.13359191626813852,-0.18125956559564513,-1.6881763443931144,-0.04707210632781032,0.39965326394956174,-1.8058455717586155,-1.0260586487200147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,-0.13113001125220142,-0.14291440822335286,-0.15233951600721066,-1.0584620598235919,-0.04707210632781032,1.928274504695346,0.19506321079164188,-1.0057913087408235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,4.259157263740575,2.9141505677497364,2.7510611317004994,0.5787950800571665,-0.04707210632781032,3.711665952232094,-0.08576609202242932,-0.9598015129582056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,-0.26586160969019507,-0.12242177400589133,-0.06108905320593548,0.6732522227425949,-0.04707210632781032,0.2722681605540797,1.142862107789132,-1.0599152856454215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,-0.012614834282439593,-0.12028065659254217,0.05153287720978919,-1.7511477728500666,-0.04707210632781032,0.2722681605540797,1.177965770640891,-1.0998588308878463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
